"FEN,Evaluation"
"R4k2/5br1/3N4/p3P3/8/5K2/8/8 b - -,391"
"1nb5/1p6/1kp5/8/8/6B1/8/3R3K w - -,225"
"8/8/4kpp1/3p1b2/p6P/2B5/6P1/6K1 b - -,-247"
"8/8/8/3N4/2KB4/5k2/8/8 b - -,245"
"8/8/3N1N1k/5K2/6p1/8/8/8 w - -,324"
"8/8/6pp/3Pp2n/1K1kP2P/8/2B5/8 b - -,-292"
"8/8/3P1n2/4p1p1/1K1kP3/8/2B5/8 w - -,-221"
"R7/3k4/4N3/3r4/8/B7/4K3/8 w - -,345"
"6k1/4R1pp/8/1R6/8/8/8/1K3r2 w - -,353"
"5r2/8/8/5K1k/4N3/6RP/8/8 w - -,297"
"8/8/4N3/8/8/4p1n1/5k2/3KR3 w - -,220"
"8/8/8/2N5/8/4p1n1/5k2/3KR3 b - -,221"
"8/8/8/2N5/8/6n1/4pk2/3KR3 w - -,221"
"8/8/8/2N5/8/6n1/3Kpk2/4R3 b - -,221"
"8/8/8/2N5/8/8/3Kpk2/4Rn2 w - -,221"
"1nb5/1pk5/2p5/8/8/6B1/8/3R3K b - -,269"
"8/6p1/2kNK1N1/8/8/8/8/8 w - -,158"
"3K4/8/8/8/3N2B1/8/3k4/8 w - -,202"
"8/3B4/3K4/k7/3N4/8/8/8 b - -,280"
"8/8/3K4/1N6/2B5/8/8/2k5 w - -,308"
"4K3/2k1Bp1N/6p1/5PP1/8/7p/b7/8 w - -,-298"
"5k2/1R5p/6p1/p7/8/5PPK/r6P/8 w - -,321"
"8/8/8/5B2/3k1NK1/8/8/8 w - -,150"
"B7/8/3k4/8/3K4/8/3N4/8 b - -,218"
"7k/8/8/6n1/8/8/5PPP/b6K w - -,-263"
"2R5/2P3k1/8/6p1/2r5/5PPK/8/8 b - -,294"
"8/5kp1/3K2N1/2N5/8/8/8/8 w - -,274"
"8/8/5N1k/2r2K2/6RP/8/8/8 w - -,299"
"2r5/8/5N1k/5K2/6RP/8/8/8 b - -,321"
"5rk1/7p/4N3/8/8/8/1BB5/6K1 b - -,190"
"4R3/7k/8/2pK4/2P3N1/7P/6r1/4n3 b - -,275"
"2r3k1/7N/8/8/8/8/1BB5/6K1 w - -,162"
"6k1/5pp1/4b3/8/5n2/3BR3/6PP/6K1 w - -,232"
"8/6p1/3k2N1/4NK2/8/8/8/8 w - -,152"
"2k5/8/2K5/8/pB6/P7/8/8 w - -,320"
"2k5/8/2KB4/8/p7/P7/8/8 b - -,243"
"3k4/8/2KB4/8/p7/P7/8/8 w - -,320"
"8/2B1k3/2K5/8/p7/P7/8/8 w - -,331"
"8/5kp1/5p1p/4n3/6P1/7P/5P2/4R1K1 w - -,356"
"2R5/P5k1/8/8/8/r1PK4/8/8 b - -,188"
"5R2/5br1/4k3/p3PN2/8/5K2/8/8 b - -,-385"
"3R4/5bN1/8/p2kP3/8/5K2/8/8 b - -,363"
"R7/P5k1/6p1/8/r4P1P/8/1K6/8 w - -,303"
"R7/P5k1/6p1/8/5P1P/1K6/8/r7 w - -,345"
"8/8/8/8/2B5/2k5/3N4/4K3 w - -,190"
"8/6p1/3kN1N1/5K2/8/8/8/8 w - -,265"
"5k2/8/3NK1N1/6p1/8/8/8/8 b - -,237"
"8/5kp1/5p1p/4n3/8/5P1P/6P1/4R1K1 w - -,249"
"8/7k/3N4/5K2/6p1/8/6N1/8 w - -,150"
"8/6k1/3NK1N1/6p1/8/8/8/8 w - -,195"
"8/8/1R3k2/2pr1Pp1/1R1b2P1/8/4K3/8 b - -,334"
"8/8/1R6/2prkPp1/1R1b2P1/8/4K3/8 w - -,363"
"1R6/8/1R1r4/2p1kPp1/3b2P1/5K2/8/8 b - -,314"
"2r4k/8/7p/3n1R2/4p2P/4P3/5P1K/8 b - -,-337"
"5k2/8/5pK1/5PbP/2Bn4/8/8/8 b - -,-283"
"5k2/8/5pK1/5P1P/2Bn3b/8/8/8 w - -,-306"
"5k2/8/5pK1/3B1P1P/3n3b/8/8/8 b - -,-363"
"5k2/8/5pK1/3B1P1P/7b/8/4n3/8 w - -,-343"
"5k2/8/5pK1/5P1P/7b/5B2/8/6n1 w - -,-364"
"4N3/8/4K1pk/6N1/8/8/8/8 w - -,265"
"8/8/8/1p6/1Pp5/2K3Pk/7P/8 w - -,218"
"4k3/6p1/4K3/3N4/4N3/8/8/8 w - -,213"
"R4N2/8/2k5/3r4/8/B7/4K3/8 w - -,357"
"2R2N2/8/1k6/3r4/8/B7/4K3/8 w - -,397"
"1NBk4/p2p4/8/3K4/8/8/8/8 w - -,354"
"8/8/8/8/8/1k6/2BKN3/8 b - -,207"
